@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
12, 12, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 11, 1, 25, 13, 14, 1, 0, 341, 2, 0, 0, 0, 0, 0, 10, 1, 13, 1, 0, 340, East
13, 12, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 10, 1, 25, 13, 13, 1, 0, 340, 2, 0, 0, 0, 0, 0, 9, 1, 14, 1, 0, 339, South
13, 11, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 9, 1, 25, 13, 14, 1, 0, 339, 2, 0, 0, 0, 0, 0, 8, 1, 15, 1, 0, 338, South
13, 10, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 8, 1, 25, 13, 15, 1, 0, 338, 2, 0, 0, 0, 0, 0, 7, 1, 16, 1, 0, 337, South
13, 9, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 7, 1, 25, 13, 16, 1, 0, 337, 2, 0, 0, 0, 0, 0, 6, 1, 17, 1, 0, 336, South
13, 8, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 6, 1, 25, 13, 17, 1, 0, 336, 2, 0, 0, 0, 0, 0, 5, 1, 18, 1, 0, 335, South
13, 7, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 5, 1, 25, 13, 18, 1, 0, 335, 2, 0, 0, 0, 0, 0, 4, 1, 19, 1, 0, 334, South
13, 6, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 4, 1, 25, 13, 19, 1, 0, 334, 2, 0, 0, 0, 0, 0, 3, 1, 18, 1, 0, 333, East
14, 6, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 3, 1, 25, 13, 18, 1, 0, 333, 2, 0, 0, 0, 0, 0, 2, 1, 17, 1, 0, 332, East
15, 6, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 2, 1, 25, 13, 17, 1, 0, 332, 2, 0, 0, 0, 0, 0, 1, 1, 16, 1, 0, 331, East
16, 6, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 17, 6, 1, 1, 25, 13, 16, 1, 0, 331, 1, 0, 0, 0, 0, 0, 0, 0, 15, 1, 0, 530, East
