%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-keyboard'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
11,1,1,54,1,1,1,0,1,1,0,0,3,3,10,0,6,1,0,0,18,4,10,1,1,1968,2067
12,1,1,53,1,1,0,0,1,2,12,0,3,2,10,0,6,1,0,0,18,4,10,1,1,2067,2166
13,1,1,52,1,0,1,0,1,3,14,0,3,3,12,0,6,2,8,0,18,5,9,1,1,2166,2265
13,2,1,51,0,0,1,1,1,4,14,0,3,2,10,0,6,1,0,0,18,5,9,1,1,2265,2364
13,3,1,50,0,0,1,1,1,5,14,0,3,3,10,0,7,1,0,0,18,6,9,1,1,2364,2463
13,4,1,49,0,0,1,1,2,5,12,0,3,3,11,0,7,1,0,0,18,7,7,1,1,2463,2562
13,5,1,48,0,1,1,1,2,5,11,0,4,3,11,0,8,1,0,0,18,6,6,1,1,2562,2661
14,5,1,47,1,1,0,0,2,5,12,0,5,3,11,0,9,1,0,0,18,6,5,1,1,2661,2760
15,5,1,46,1,1,1,0,2,5,13,0,4,3,13,0,10,1,0,0,18,6,4,1,1,2760,2859
16,5,1,45,1,1,0,1,1,5,15,0,5,3,13,0,9,1,0,0,18,6,3,1,1,2859,2958
17,5,1,44,1,1,0,0,1,6,17,0,4,3,15,0,8,1,0,0,18,6,2,1,1,2958,3057
18,5,1,43,1,0,1,1,1,7,19,0,4,3,16,0,7,1,0,0,18,6,1,1,1,3057,3356
9,1,4,68,1,1,0,0,8,5,5,1,10,5,5,1,11,5,6,1,17,7,14,1,1,-6,93
8,1,4,67,1,1,1,0,8,5,4,1,10,5,6,1,11,5,7,1,17,7,15,1,1,93,192
7,1,4,66,1,1,0,0,8,5,5,1,10,5,7,1,11,5,8,1,17,7,16,1,1,192,291
6,1,4,65,1,1,1,0,8,5,6,1,10,5,8,1,11,5,9,1,17,7,17,1,1,291,390
6,2,4,64,0,0,1,1,8,5,5,1,10,5,7,1,11,5,8,1,17,7,16,1,1,390,489
6,3,4,63,1,0,1,1,8,5,4,1,10,5,6,1,11,5,7,1,17,7,15,1,1,489,588
6,4,4,62,0,0,1,1,8,5,3,1,10,5,5,1,11,5,6,1,17,7,14,1,1,588,687
6,5,4,61,1,1,1,1,8,5,2,1,10,5,4,1,11,5,5,1,17,7,13,1,1,687,686
7,5,4,61,1,1,0,0,8,5,1,1,10,5,3,1,11,5,4,1,17,7,12,1,2,686,885
8,5,3,61,1,1,0,0,1,1,0,0,10,5,2,1,11,5,3,1,17,7,11,1,2,885,884
9,5,3,61,1,1,1,1,1,1,0,0,10,5,1,1,11,5,2,1,17,7,10,1,1,884,1083
10,5,2,61,1,1,1,0,1,1,0,0,3,1,0,0,11,5,1,1,17,7,9,1,1,1083,1282
11,5,1,61,1,0,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,2,1279,1278
10,5,1,61,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,9,1,1,1278,1377
10,6,1,60,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,8,1,1,1377,1476
10,7,1,59,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,7,1,1,1476,1575
11,7,1,58,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,6,1,1,1575,1674
12,7,1,57,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,5,1,1,1674,1773
13,7,1,56,1,0,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,4,1,1,1773,1872
13,6,1,55,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,5,1,1,1872,1971
13,5,1,54,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,6,1,1,1971,2070
14,5,1,53,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,5,1,1,2070,2169
15,5,1,52,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,4,1,1,2169,2268
15,6,1,51,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,3,1,1,2268,2367
15,7,1,50,0,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,17,7,2,1,1,2367,2466
16,7,1,49,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,17,7,1,1,2,2466,2665
12,10,4,1,1,1,1,1,6,6,10,1,3,14,13,1,14,3,9,1,14,13,4,1,7,-6,-7
13,10,4,1,1,1,1,1,6,6,11,1,3,13,13,1,14,3,8,1,13,13,3,1,6,-7,-8
14,10,4,1,1,1,1,1,7,6,11,1,3,14,15,1,14,3,7,1,13,13,5,1,5,-8,-9
14,11,4,1,1,1,1,1,7,7,11,1,3,14,14,1,15,3,9,1,12,13,4,1,6,-9,-10
14,12,4,1,1,1,1,1,6,7,13,1,3,13,12,1,14,3,9,1,12,13,4,1,7,-10,-11
13,12,4,1,1,1,1,1,5,7,13,1,3,14,12,1,13,3,9,1,12,14,3,1,8,-11,-12
12,12,4,1,1,1,1,1,5,8,11,1,2,14,12,1,14,3,11,1,12,14,2,1,9,-12,-13
12,13,4,1,1,1,1,1,6,8,11,1,1,14,12,1,14,3,12,1,12,14,2,1,10,-13,-14
12,14,4,1,1,1,0,1,5,8,13,1,1,14,11,1,13,3,12,1,11,14,1,1,11,-14,185
11,14,3,1,1,1,0,1,6,8,11,1,2,14,9,1,14,3,14,1,7,1,0,0,12,185,184
10,14,3,1,1,1,0,1,6,7,11,1,2,14,8,1,13,3,14,1,7,1,0,0,13,184,183
9,14,3,1,1,1,0,1,6,8,9,1,3,14,6,1,13,3,15,1,7,1,0,0,14,183,182
8,14,3,1,1,1,0,1,5,8,9,1,2,14,6,1,13,4,15,1,7,1,0,0,15,182,181
7,14,3,1,1,1,0,1,6,8,7,1,2,14,5,1,12,4,15,1,7,1,0,0,16,181,180
6,14,3,1,1,1,0,1,6,8,6,1,2,13,5,1,13,4,17,1,7,1,0,0,17,180,179
