%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-tutorial'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
6,6,3,0,1,1,1,0,1,1,0,0,9,7,4,1,24,6,18,1,22,14,25,1,0,169,168
7,6,3,0,1,1,0,0,1,1,0,0,9,6,2,1,24,5,18,1,23,14,23,1,0,168,367
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,16,1,23,13,23,1,0,367,366
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,23,6,16,1,23,14,25,1,0,366,365
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,16,1,24,14,24,1,0,365,364
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,23,6,16,1,24,14,26,1,0,364,363
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,6,15,1,25,14,24,1,0,363,362
9,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,15,1,24,14,23,1,0,362,361
9,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,15,1,24,14,25,1,0,361,360
10,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,5,13,1,24,15,25,1,0,360,359
11,5,2,0,1,0,1,1,1,1,0,0,3,1,0,0,23,4,13,1,24,16,23,1,0,359,358
11,6,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,4,15,1,23,16,22,1,0,358,357
11,7,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,3,17,1,23,16,21,1,0,357,356
11,8,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,4,17,1,23,16,19,1,0,356,355
11,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,3,19,1,22,16,17,1,0,355,354
11,10,2,0,1,0,1,1,1,1,0,0,3,1,0,0,24,4,19,1,21,16,17,1,0,354,353
11,11,2,0,1,0,1,1,1,1,0,0,3,1,0,0,23,4,19,1,21,17,15,1,0,353,352
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,4,21,1,20,17,14,1,0,352,351
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,24,3,21,1,20,17,12,1,0,351,350
13,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,3,20,1,19,17,12,1,0,350,349
14,12,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,3,18,1,19,18,10,1,0,349,348
14,13,2,0,0,0,1,1,1,1,0,0,3,1,0,0,23,4,18,1,18,18,10,1,0,348,347
14,14,2,0,1,1,1,1,1,1,0,0,3,1,0,0,22,4,18,1,19,18,8,1,0,347,346
14,15,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,4,20,1,18,18,6,1,0,346,345
14,16,2,0,1,1,1,1,1,1,0,0,3,1,0,0,23,3,22,1,17,18,4,1,0,345,344
14,17,2,0,0,1,1,1,1,1,0,0,3,1,0,0,24,3,24,1,16,18,4,1,0,344,343
14,18,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,3,25,1,17,18,4,1,0,343,342
15,18,2,0,1,1,0,1,1,1,0,0,3,1,0,0,24,4,23,1,17,17,3,1,0,342,341
15,17,2,0,1,1,1,1,1,1,0,0,3,1,0,0,24,3,23,1,17,17,1,1,0,341,540
16,17,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,4,21,1,7,1,0,0,0,540,539
16,16,1,0,1,1,1,1,1,1,0,0,3,1,0,0,25,4,21,1,7,1,0,0,0,539,538
16,15,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,4,19,1,7,1,0,0,0,538,537
16,14,1,0,1,1,1,0,1,1,0,0,3,1,0,0,24,4,18,1,7,1,0,0,0,537,536
17,14,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,16,1,7,1,0,0,0,536,535
17,13,1,0,0,1,1,1,1,1,0,0,3,1,0,0,24,6,14,1,7,1,0,0,0,535,534
17,12,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,7,12,1,7,1,0,0,0,534,533
17,11,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,8,10,1,7,1,0,0,0,533,532
17,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,25,8,10,1,7,1,0,0,0,532,531
18,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,25,7,10,1,7,1,0,0,0,531,530
19,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,24,7,8,1,7,1,0,0,0,530,529
20,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,23,7,6,1,7,1,0,0,0,529,528
21,10,1,0,1,1,0,0,1,1,0,0,3,1,0,0,23,6,6,1,7,1,0,0,0,528,527
22,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,23,5,6,1,7,1,0,0,0,527,526
23,10,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,6,1,7,1,0,0,0,526,525
23,9,1,0,0,1,1,1,1,1,0,0,3,1,0,0,23,5,4,1,7,1,0,0,0,525,524
23,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,24,5,4,1,7,1,0,0,0,524,523
